condition_id,category,prob,final_outcome,n_fills,source
0x9772892417b2335d88125fdcc9956bddedacc0b979e0e72e3cef7ad961829fcc,onchain_unknown,0.9075,1,2,goldsky
0x87376604b66cfdf241c47232bd44f6dd3a8f9c05497cfa211c131a53ef8dfa27,onchain_unknown,0.39,1,21,goldsky
0x6c3a4c986836aaf67d15217561208d338167b774c171c1f8c82530d59e420b6c,onchain_unknown,0.52,0,34,goldsky
0x1e78a22c6697935890d2e9879c9bdc47f04d1cd68b4c94c8c094cdb69d77c775,onchain_unknown,0.31,1,311,goldsky
0xb75c07f4252992808d7ca7d9828169c524b0fef44bf5adf78c327ef88469c986,onchain_unknown,0.16,0,77,goldsky
0x4d1d3e9627d1a6de90254612d6e8f422291e24f9dec7bdc4bfe65f8eb7ebd479,onchain_unknown,0.5,0,17,goldsky
0xbe112cd1ad039bea98bfbcc178798b5304960855d7f5943a34e149cc4c7aa3bb,onchain_unknown,0.95,1,29,goldsky
0x22366144ad8dd4f021e286a76666e22024bdd01b0f2a1ff164613207cebfeb1e,onchain_unknown,0.41,0,413,goldsky
0x653fc08d19fdc15afcc9d88cb274b6779e967994c72776e9960f6b003354b1af,onchain_unknown,0.535,0,42,goldsky
0x23a933fde445463190ac9d36a7b90c65f30ee5c3ce2eeac329f07bbafb221003,onchain_unknown,0.45,1,95,goldsky
0x4187800b0cb123302538051992a0a7cf5dbcf8adc1e6edad834c9076291cb7b6,onchain_unknown,0.07,0,61,goldsky
0xe1efcca455487301ed5a2b791c941df3510d704edaa8b3185e923e897bf2503d,onchain_unknown,0.67,0,4,goldsky
0xbf1eebf03606fb5d0583cf106e16e658d0e1e52c9710d1d0689c7fd9debb702e,onchain_unknown,0.43,1,4780,goldsky
0x4642c820d4d5622ebebbeb80a98a67b5ec24f62673350cc20022dc3980bbefff,onchain_unknown,0.2,1,39,goldsky
0x35d8c42a467d4e485ffba50c5d2d984ed0793f4935319ca923b494798051c8ef,onchain_unknown,0.22,1,160,goldsky
0x9ab24d6c7d444e8940152d9730946c225986572640e9c27eb74ae12b5a68139a,onchain_unknown,0.42,0,220,goldsky
0x6747bae2269c348786d0c0c0f4286ac006f13f16325d4dcbab954b46de029f19,onchain_unknown,0.9772,1,158,goldsky
0xb44e24a767d8fe9a76c178d7460028ce1382d2003408064bf678611f79351f22,onchain_unknown,0.76,1,138,goldsky
0xe0dee32c534d80913fa435e3a0e3f151ef3cbf6367be1cfea9576690d18ea7c9,onchain_unknown,0.38,0,199,goldsky
0x8cf61b7b84b6ac2e0c619867dd6966e688b43e4fd4c866423da2f757c58f0a9f,onchain_unknown,0.25,1,22,goldsky
0x72c8ec8b0dc9c42bb0821b85caa9f2cfd73681ec3f3e2d9a340c8932772bfef1,onchain_unknown,0.001,0,6,goldsky
0x1e25feaca6587256a7d830023b797279561de33ceb29845186f3d29d3569743d,onchain_unknown,0.012,0,141,goldsky
0x018e42fb3558a5daf41ead1d27f9de61a8cfaa5cccde8ecc8224ae9a753014c6,onchain_unknown,0.27,0,348,goldsky
0x7932ce4b3846082cfed5f25deab2d78181adada1ecb2e3873ed98f6cc9b185cc,onchain_unknown,0.185,0,10,goldsky
0xddcea0543acff85d8371c70d4b3d86e23ed77823d48fbf7e44a5f9800a86bf70,onchain_unknown,0.0072,0,6,goldsky
0x5c0d6ad919721588f4536e8f3d7b08a80bcbe072c3115e7e0b60ecba31bb934b,onchain_unknown,0.4278,0,3,goldsky
0x1d2787cb8aed975d092b2799ed6f4083e9445f7420cdc09e9d47e7d54356c6cd,onchain_unknown,0.003,0,55,goldsky
0xae6bd261779a3522a9fb07ab72bd01186927d5e8e35be3acb6646b078c2eb428,onchain_unknown,0.49,0,3,goldsky
0x990e09f0885d262b6a427e40f2914980cd24bcd249d12eaea918a759e6837b12,onchain_unknown,0.4691,1,97,goldsky
0x56a6ee5314650d14aea219d25e3e4067c6407d0918de52303f88b91978c33f1f,onchain_unknown,0.49,1,25,goldsky
0xf9f0965a3bd704ad9c184851242606ad35a4ffe733febf5074d4fbcc59d52eb8,onchain_unknown,0.032,0,138,goldsky
0xf2d62e8ca8b26cd825b3ad2abbfeb1a14b90e2a3bd5e790c6fdd3aeab3651bde,onchain_unknown,0.51,0,3,goldsky
0x95ec6be94a0066ecf548bbfd50754d068fffbddbfe547508916b292a028d6c79,onchain_unknown,0.78,1,1409,goldsky
0xe94bb4edde0a1efaadb206e9be42de34c771f640af3f7333cc8be399fffe8981,onchain_unknown,0.53,1,1082,goldsky
0x01aaece056f8163129041a6a8e0fcfca7ca331df1ca652f8084ce60b46e6d870,onchain_unknown,0.36,1,71,goldsky
0x50f34142e9e1507a1958935648810f697c31b70d031964e134fb506e7e312c3b,onchain_unknown,0.75,1,579,goldsky
0x3cdf6fa07ce061ab6cdd26c7386b21d0b4c2cb3226d0a069cd8b597fdc667676,onchain_unknown,0.38,1,110,goldsky
0x16453621c011fade25f3755592473d5af9c7d98c30490f3f94a076190b45ed05,onchain_unknown,0.998,1,40,goldsky
0x8f2801afa6d303e6e72751b458a3c53511ca7d6410bccab74d29680fbc791139,onchain_unknown,0.37,1,245,goldsky
0xe6fc4d3a5124b781cd49e29319e7fb189a8cc67fc6706adb1b44fe74be901265,onchain_unknown,0.84,0,34,goldsky
0x8cef8345050a4fb331aab7a25c280ac64433be235db7b05647c5e4cb3b1e9001,onchain_unknown,0.18,0,74,goldsky
0xc40e57f06c800f6c1647863d7285b270739346e276be716e139fd3663800584e,onchain_unknown,0.029,0,3,goldsky
0x518a5b030b205706b8ffe6bbad9bd3de59548348e5c0471827f5de21e513333c,onchain_unknown,0.35,0,45,goldsky
0xfba423a14f9ab876ccd56b18c4eb8d20cedfba3e0a66582b25813546eaf51145,onchain_unknown,0.6546,1,2,goldsky
0x5a9c2289eb4b06d03df4df70aa4f853054bc168ed632650aa9dbe8e0be5c947b,onchain_unknown,0.6466,1,1,goldsky
0xd17c97009f43a6204913c6820492512a6b4e1e6987cc8843d4a5e9a80dc2c7e9,onchain_unknown,0.99,1,3,goldsky
0x7f9fb1665934c79a7f67789f317990b817caf276f44cde0eecd84aad9a153751,onchain_unknown,0.27,1,9,goldsky
0x13739df0c8a92a6548d4e5b2c73491208fd0e76971a2d586f7d4577a414046af,onchain_unknown,0.47,0,11,goldsky
0x858071dbcd97be6e31f8467cba92fcb09d1d767d46da407e4434438a188b04a2,onchain_unknown,0.011,0,31,goldsky
0x43ef9188afe6df1ad2ae69a67ceb9077bb930a5d924d804e45b28c5eec058dd4,onchain_unknown,0.34,0,18,goldsky
0x6c0f6c09f9cf4a2cc7e0971307c5ebf0e1c70cb0b7a662c83f9268a11296c5cf,onchain_unknown,0.0305,0,2,goldsky
0x3931447c4eb7a8aa9db2bac6c9183c0b0d338b384a5b6690fe6266709fbab13a,onchain_unknown,0.245,0,262,goldsky
0x418872fac8b1d976da9c682ccf3ef12aa29c8c84a588a50b33af0032459b8af2,onchain_unknown,0.32,1,1,goldsky
0x72079e9d166987eccb18700cd4c9f1ee1f557c2e6a3fd7bc1cf2b915e4b344e6,onchain_unknown,0.5149,1,1,goldsky
0xd87a0ee5367e38072ac013e99035672125fee3a3f4446f0389fe806e42e3e42e,onchain_unknown,0.004,0,15,goldsky
0x6206084eede4554897d3afb02f11b1c82a55738d86cfc093a2db9aeab4ca0386,onchain_unknown,0.852,0,11,goldsky
0x0634fb2473fce47fbe0cb12d721a12f4da70ee3a1e04b15b33bb112d605df95f,onchain_unknown,0.63,1,14,goldsky
0x1bb8bd43ada27e828ce693a5dc2896cd918b64869570761a61048ec78471ce9a,onchain_unknown,0.28,1,4,goldsky
0x877eb85ee38cf4c5b0fb5e30a05b060c3d8f63f390634667f6850f81fcd01594,onchain_unknown,0.51,1,6,goldsky
0x440b94a6e5db20c451037d3828af867e2e87b66d1bd9f5e335d0f5d6418e273c,onchain_unknown,0.01,0,1,goldsky
0xf419325a81813bb603985baae6952ff43cc4fded835174c3a6c2e4a855579f4f,onchain_unknown,0.36,1,20,goldsky
0x7e36605c74e41a5d3ce2325788fabb36d7da8c14b95ae9537d5b5db33bff5bc0,onchain_unknown,0.027,0,1,goldsky
0x05742ca23f5baee61802b101b46ffabbba72ab409d05f988114f0d443c54c33d,onchain_unknown,0.15,0,5,goldsky
0x84a6ea6cf734bdec793b1a8241cc657e89ee9a8538880f3c65a512fc6fef0592,onchain_unknown,0.96,1,1,goldsky
0xf64d6c423c7818e376361150954c65895dea1a23958a360774caa44831e83a83,onchain_unknown,0.4,0,21,goldsky
0x8eade8baf6bcc374990691d639c80fc4c3d858462d3c3c594d0e69c5f6423080,onchain_unknown,0.17,0,2,goldsky
0xc5675bc58c8117391cc243780c1b709ce1ef744aa27779c78ee82f3dc974ca1b,onchain_unknown,0.025,0,16,goldsky
0xe31a6c763685129123cb6a0f729bfce04b768c5a22cb09c5610406df1a302465,onchain_unknown,0.06,0,111,goldsky
0x5c539e6311fa59d5987b2a4fb7842ad61ff2e77572a0a34b4894442877ee32ad,onchain_unknown,0.99,1,87,goldsky
0x8bf3c527692ce6c45ab56ca68f1c61cb1b193c53f08fb4c79eae56566d76ac95,onchain_unknown,0.99,1,3,goldsky
0x5b9194357d97f3976f235663e7208bbf496fb54bd51b5cdd19fb9d1488dc3ffa,onchain_unknown,0.001,0,20,goldsky
0x1b477f4b30fd28ef43372bf5699c9c01f6f2142b26b2a1caae7eca05dd0fc40b,onchain_unknown,0.005,0,204,goldsky
0x32f66ee253d41ef0b1f2fbfa51216371f2423a7adc332cb23f09c0870b66fd75,onchain_unknown,0.06,0,2,goldsky
0xabb2d35eb1505d5d6aa7037f9a54571536df165b12f66524830025a5d7e991c7,onchain_unknown,0.01,0,2,goldsky
0x5360d3d712f14b4145ca52c07aeb545452138d308a44e39cfb776320103f7845,onchain_unknown,0.64,1,609,goldsky
0x5754c3f624c29522d47e197aa11403a32b76acb7de0db8836bf21e534b7cb867,onchain_unknown,0.25,0,12,goldsky
0xffe381a80c1e36f9e0b03a542aa8fe56e74a67d2566a4e29396d4427aa4244c9,onchain_unknown,0.14,0,82,goldsky
0x068118be45da46c341716280f41ecae94b9e26198ffdf384d2c16df7b7bf47d6,onchain_unknown,0.9485,1,4,goldsky
0xeb4480331715a340fd6ad6b01c4fbff90decfff346e5e40d33c3b78737454966,onchain_unknown,0.001,0,5,goldsky
0xd15fbc6b8e8b4ede991b758ff7b35a484eb86496fa5554ff2236359bf954800b,onchain_unknown,0.52,0,1,goldsky
0xcd4d54b18c84e172b7d066c12bc0460e066814ce12a7402d01f7df73960efece,onchain_unknown,0.67,1,1,goldsky
0xb124138e6dfaf3eccbbb4a72c512491f68515b8efe2ef6a6286f20c28938549d,onchain_unknown,0.32,0,20,goldsky
0x39e5a7e6589e2986f8fc879099045cc6e9d4127bf655c17f733e1cd3f6056781,onchain_unknown,0.027,0,6,goldsky
0x02f8dd15d4c674a75fccbd0e00f0cf1256101c45ef41f6d0c5dfde9c36d4141e,onchain_unknown,0.998,1,76,goldsky
0xbe2375ce62c3b4721d65df37398c8675c4a7357c4bccad30a356951248ad6cc2,onchain_unknown,0.0346,0,3,goldsky
0x206bc1707eb9b4b9fc11a75e99f5ec62d532b1e1cb864ae40b4824b46f01942b,onchain_unknown,0.46,0,161,goldsky
0xf797921453444477c7237dbc0b2d49350b5cf5e35664f93d438c3e791ce13b8d,onchain_unknown,0.12,0,3,goldsky
0xe6ab30d554a2b3ff7ad25ce20bf9170812e2447fd67263363356da9e25eb4298,onchain_unknown,0.47,1,61,goldsky
0x92b46967aa40bdafc28266e594d613d1954228cf31aac21d31c7c817b998525a,onchain_unknown,0.57,0,5,goldsky
0xe5fbb4bfc33171d78ec10f4ba1f181536f7e92ef683fb6ea985f0f16745272d8,onchain_unknown,0.23,0,3,goldsky
0x0f3cfcfb8ac76c13b75330956efc55f02f3afe29d138e445c8a7d0759933e243,onchain_unknown,0.14,0,40,goldsky
0x918c96e6a0a62ed71573d9a41c28f7173fe9cbdf90d5d9b05f236f225a4465c4,onchain_unknown,0.999,1,41,goldsky
0x5d9d0df39c25f18c14e0389f753c4c4b44f09a458ffd2f3184adbfdb32ab882f,onchain_unknown,0.86,0,5,goldsky
0xeec4e601323d1eb3ebf1f1d217c6807d480f3fbda548947406a43bdcc841f3ef,onchain_unknown,0.35,0,1,goldsky
0x2eca37bb35d4083d319298c5cd4650d25bde120fcb9bb5be420340b7de9e39ab,onchain_unknown,0.24,0,7,goldsky
0xecc22ed65ed514cdcbf05ccc68cf8e27fe51a4249964853cc545dc58548c01b3,onchain_unknown,0.88,1,18,goldsky
0x15eb3d95d13e81d5d07b09eb8a9712ae8ad0253eb6a51ae87db5e49d069e667f,onchain_unknown,0.2341,0,249,goldsky
0xe724ad31057ebc608e49d2b72566cf6f43ade80707af45b2d64fa0c0c36da0a2,onchain_unknown,0.0035,0,10,goldsky
0xe43f857dfb0198020e4c4c05e1704ae961719d0f472bdd66b2661a0a0a519c36,onchain_unknown,0.35,1,9,goldsky
0xdb265869b8fc2236fa9fae4b847883e60dbcb478231b76c618d27b85ea47d569,onchain_unknown,0.36,1,2,goldsky
0xe2f7d6d6a72155a5ef01d2e809f3109aa7bf28ece77e508e30237d92f9bb579d,onchain_unknown,0.54,1,5,goldsky
0x84f92ff1f6113091642502836b5a06b66079597ebbb8d5514eadd330d07fe555,onchain_unknown,0.61,1,20,goldsky
0xd8f6957d927a6be3d472acdd7c1b76b753e9808da46b899cabd42eddc8c30bab,onchain_unknown,0.735,0,2,goldsky
0x7f6ba36887a917b54ed9110e4fa1a2bf9323f3c71801c29d5982be77ab4e9153,onchain_unknown,0.001,0,7,goldsky
0xb88220e19bb45eeb1fd313510f34ba055cb1a8cfc0e774e424cf0f45e04d06cc,onchain_unknown,0.1,0,43,goldsky
0xe03dd6c65ba69978d3f7e0f57101e883892921d42d9676269c7ab1eb6d87648e,onchain_unknown,0.675,0,22,goldsky
0x310a1a7d99a6732e270a1ea0c7f8db1689585b333433fb849585d5c5e5a97ed3,onchain_unknown,0.45,0,30,goldsky
0x3a0e803db220c314dfe56790d78a112ae0f61ae0ef373929940b7768464482cf,onchain_unknown,0.88,0,21,goldsky
0xc53e5d334fd60c52660ae22981a5e8e2c63f0fb1c9d5a94b6b766fee1a4aef22,onchain_unknown,0.44,1,1,goldsky
0xd854ced87b0014c99af9fb4436f5fcb9d2a5dad153fc319841e9fa7c85b76af7,onchain_unknown,0.8,0,17,goldsky
0xdbb15e79a34d68eb89bedbea4554df508c7c20fef2087be56c16b492201f9615,onchain_unknown,0.35,0,108,goldsky
0x362f08cf136603c7f6f0123a4a8bc1145b72263e8b0be86c4448a9343f1f8415,onchain_unknown,0.4195,0,3,goldsky
0xe6ca9df9502600d4f652a725babeff09cd2947974d18351c18a3ba86cc985c50,onchain_unknown,0.002,0,70,goldsky
0xd184b5540b300b672b81eead73a206a0ee19ca3d1e1a897296ee51468a530b84,onchain_unknown,0.05,0,10,goldsky
0xfa1b2c8cca4da9e6837e8a8cd53e3e6a258ce2db3d21d4ea835c65d125679e49,onchain_unknown,0.017,0,1,goldsky
0xe85db2c1843ebf5eac87613544d8a7e062039ec023d60fcaab2c9bf6340de110,onchain_unknown,0.52,1,7,goldsky
0xf9236e6e63c4fbf31146d8e1137cd987779bd3cbf09fcdc61bcda3c314798053,onchain_unknown,0.5,0,43,goldsky
