condition_id,category,prob,final_outcome
polymarket_0x4408af6aaac9536da338809fcb1f13f959a0982164afb0c156cd0f3c2217c15a,other,0.916,0
polymarket_0x01351ff28135fa1d45d599ba0023562075f2b55ba4b14519d5b94218092f0d43,sports,0.5,1
polymarket_0x5e9df8dd44aa3a2290c79dbe23f0c585ac5d196d013f74e2d482ebcb2c1b968a,sports,0.5,0
polymarket_0x274080808b576c8f98bacd31fd215e1815ae7fb136c19ec34c5ac4c2bf497a9f,sports,0.5,1
polymarket_0xdc44a78b8def4ca1394ecc46fb06fde397fa87cd3c7af05a520d166139541a65,other,0.99,1
polymarket_0x793a2d7100d6674f8a83fde51578462503229aa312269aa8665366ee7fee1468,other,0.35,0
polymarket_0xbdf5cb93bc18bf5a2b5aec84cd466eb0ba4e1b3309423182307b72cb0c3ed252,other,0.32,0
polymarket_0xca3499d7a77b6b1d7b7b50681c16cf2214589eef0ea5b4f2923d14d1d01f61e5,other,0.285,0
polymarket_0x37e8e5137ee9f667e7f9e748f6ccf09f551f9b8b86d73297e3b69114bb92ea1c,other,0.35,0
polymarket_0x1e7ebfc15dc1547856f44ff5838e81564539c49687672ad57ab4a4c8b01938ab,sports,0.51,0
polymarket_0x9bf290942c40e7ca08b27d3ed4eee13e2f058763139b8648036d4477185929f4,sports,0.505,1
polymarket_0x1bd76bdb15e0aaecce98ee5c4363c151a548809d1ba4b3f97978dfff800e0d6e,sports,0.495,1
polymarket_0x62f8d8f766833805cc8247dc861d99e4d15cea1edcda782a7b8f8f43c41ada71,other,0.0605,0
polymarket_0xb987e03128e7b657332ffbaec10e818f4ec4076108005cfee450190952aa5c1a,other,0.225,0
polymarket_0x6f0381ea2b7824a12d22ab11cd676e1616c5f6b6b110badc2f845dde689a3e7e,other,0.22,0
polymarket_0x1a9bfd026f8c5de97760c253e5fecb63e20f4040cb9fcab186e3a45289787989,other,0.295,0
polymarket_0xfa5f29eed035a6b6f3c3e38373e0d3cd12dd994707ae84e8d0d785ae15d59eca,other,0.325,0
