drift/copy backtest over 117 sharp wallets — haircut=0.03 min_usd=$1,000

copyable = entry price + haircut < 0.99 (can't buy a favorite above $1); midband = entry in [0.15,0.85] (real uncertainty, not 0.99-padding/lottery-dust)

wallet          bets reslvd  mid-n   rawAll  copyAll  copyMid
0x84cfffc3f1       7      0      0      --      --      --
0xee55214ee3       0      0      0      --      --      --
0xa2fc0448a1       0      0      0      --      --      --
0x493cef47ca       0      0      0      --      --      --
0x16bc7faccd       0      0      0      --      --      --
0xbf8d2192f3       0      0      0      --      --      --
0xeface99022       0      0      0      --      --      --
0xb27bc932bf       0      0      0      --      --      --
0x9d57c42e84       0      0      0      --      --      --
0x32e4abe3e9       1      0      0      --      --      --
0xfe787d2da7     242    231    221  +0.001  -0.029  -0.033
0x48ea6b561b       0      0      0      --      --      --
0xd535415f52       0      0      0      --      --      --
0xf3a710078c       0      0      0      --      --      --
0xb0f7ab1a8d       0      0      0      --      --      --
0x893575c7d9       0      0      0      --      --      --
0x2e9b93fa3f       0      0      0      --      --      --
0x16d940bb8e       0      0      0      --      --      --
0x1cdd071bb6       0      0      0      --      --      --
0xc4fe817476       0      0      0      --      --      --
0x510f4963b6       0      0      0      --      --      --
0x8765c3958f       0      0      0      --      --      --
0x682c926159       0      0      0      --      --      --
0xd9caea7b7c       0      0      0      --      --      --
0x7cd2f2e873       0      0      0      --      --      --
0x2005d16a84      75     67     57  +0.008  -0.022  +0.002
0xae489f4feb       0      0      0      --      --      --
0x5a218c7ad0      10      0      0      --      --      --
0xb40e89677d       6      4      3  -0.080  -0.110  -0.160
0xebff466d60       0      0      0      --      --      --
0x32b484581f      50     48     41  -0.074  -0.104  -0.129
0xc76f85c258       0      0      0      --      --      --
0x44ab68a9e1       0      0      0      --      --      --
0xb02188c268       0      0      0      --      --      --
0x724db3c436       0      0      0      --      --      --
0xccba841892       0      0      0      --      --      --
0xc7d02944a7       0      0      0      --      --      --
0x06dc51826b      11      1      1  +0.170  +0.140  +0.140
0xc9255b8d5e       0      0      0      --      --      --
0x93078b5dd1       0      0      0      --      --      --
0x5da802d883       0      0      0      --      --      --
0xbd0477e08d      82     37     30  +0.150  +0.120  +0.167
0x3e6aee1898       0      0      0      --      --      --
0x69adf26878      57     56     52  +0.061  +0.031  +0.028
0x1445ff5861       0      0      0      --      --      --
0xa1f56cd95f       0      0      0      --      --      --
0xce0e637254       0      0      0      --      --      --
0x409add9d9f       0      0      0      --      --      --
0xea2986f56a       0      0      0      --      --      --
0xfe4446c8f8       0      0      0      --      --      --
0xcd7649ee17       0      0      0      --      --      --
0x1418d1d10c       1      1      1  +0.240  +0.210  +0.210
0xaaf7948cec       0      0      0      --      --      --
